current_primitive,observed_count,replacement,api_seam,ux_gain,runtime_gain,migration_risk,status
textInput,242,browser_text_field,input value preserved,consistent validation and focus,smaller native binding,low,implemented
numericInput,114,browser_numeric_field,numeric scalar preserved,consistent constraints and errors,smaller native binding,low,implemented
passwordInput,2,browser_secret_field,string value preserved,secret-specific autocomplete semantics,smaller native binding,medium,implemented
textAreaInput,34,browser_textarea,string value preserved,resizable coherent field,smaller native binding,low,implemented
selectInput,243,selection_input,selected values adapter,search virtualization stale and dirty state,bounded events and virtualization,medium,already covered
checkboxInput,68,browser_checkbox,logical value preserved,consistent native semantics,smaller native binding,low,implemented
checkboxGroupInput,6,Selection System multi-select,character vector adapter,search and high-cardinality support,virtualized options,medium,already covered
radioButtons,2,browser_radio_group,scalar value preserved,coherent keyboard-native choices,smaller native binding,low,implemented
sliderInput,2,browser_slider,numeric value preserved,live value and accessible range,smaller native binding,low,implemented
actionButton,358,browser_action_button,integer click count preserved,action hierarchy loading and focus,one native action binding,low,implemented
actionLink,1,browser_action_link,integer click count preserved,coherent low-emphasis action,one native action binding,low,implemented
tags$button,114,browser_action_button or purpose-built component,existing intent adapter,consistent action hierarchy and focus,shared native action binding,medium,covered migration pending
tags$input,27,browser control or purpose-built component,type-specific value adapter,consistent validation and accessibility,shared native input binding,medium,covered migration pending
tags$select/tags$textarea,4,Selection System or browser_textarea,value adapter,consistent field semantics,shared bounded binding,medium,covered migration pending
fileInput,3,browser_file_upload,Shiny upload record preserved,drop keyboard metadata validation and clear,no duplicate upload protocol,high,implemented
textOutput,19,browser_value_display or output_shell,rendered scalar adapter,format status and output semantics,in-place keyed update,medium,covered
verbatimTextOutput,12,code_editor read-only or output_shell semantic pre,text/code adapter,copy search and overflow behavior,in-place update,medium,covered
tableOutput,4,semantic HTML table or data_grid,records adapter,accessible small table or dense grid,virtualization where needed,medium,covered
plotOutput,0,AutoPlots inside output_shell,artifact/widget seam,resize fullscreen spotlight inspect export,ResizeObserver lifecycle,medium,covered without changing AutoPlots
imageOutput,0,semantic image inside output_shell,URL/content adapter,loading error fullscreen and alt text,native lazy loading,medium,covered by semantic strategy
downloadButton,5,browser_download_action,download handler URL seam,progress and artifact semantics,native browser download,medium,implemented
uiOutput,384,Persistent Dynamic UI or purpose-built projection,keyed schema adapter,preserved browser state and focus,incremental patches,high,covered by migration decision rule
renderUI,385,Persistent Dynamic UI or purpose-built projection,keyed schema adapter,preserved browser state and focus,incremental patches,high,covered by migration decision rule
showNotification,37,notification_center,bounded notification records,queue dedup actions and accessible announcements,in-place bounded queue,medium,implemented
modalDialog/showModal,4,browser_dialog/browser_confirmation_dialog,intent and result events,native focus trap escape and destructive confirmation,client lifecycle,high,implemented
progress UI,0 direct calls,browser_progress,normalized progress projection,truthful determinate/indeterminate states,native progress element,low,implemented
tabPanel,26,browser_tabs,route/tab IDs adapter,roving focus overflow and stable selection,keyed client navigation,high,implemented
tabsetPanel,3,browser_tabs,route/tab IDs adapter,coherent responsive navigation,keyed client navigation,high,implemented
update*Input,84,update_browser_control/update_selection_input/update_browser_surface,existing update intent adapter,one consistent update contract,in-place bounded update,medium,covered by component-specific update APIs
updateTabsetPanel,6,update_browser_surface select,selected route adapter,preserved focus and route state,keyed client navigation,high,implemented
accordions/disclosure,43 tags$details plus framework use,browser_accordion,keyed section records,native keyboard and persisted expansion,in-place state,medium,implemented
reactable helpers,shared helper,data_grid or semantic table,record/selection adapter,typed filtering and dense keyboard UX,virtualized direct engine,high,already covered
plot widgets,AutoPlots owned,output_shell around AutoPlots,artifact output unchanged,consistent resize fullscreen spotlight and actions,no analytical rerender,medium,implemented shell with AutoPlots delegated
code editor,Code Runner seam,code_editor,code/value adapter,Monaco editing and diagnostics,in-place model update,medium,already covered
object/details,large dynamic surface,object_inspector,normalized value tree,search copy redaction and types,virtualized inspection,medium,already covered
tooltip/popover/context menu,5 plus custom markup,browser_tooltip/browser_popover/browser_context_menu,bounded intent adapter,collision handling keyboard dismissal and one overlay stack,package-owned portal lifecycle,medium,implemented
drawer/sheet,custom page panels,browser_dialog variants,bounded intent adapter,responsive native dialog focus and restoration,client lifecycle,medium,implemented
breadcrumbs/local pagination,custom tags,browser_breadcrumbs/browser_pagination,route and page adapter,native semantics stable navigation and keyboard,bounded client update,low,implemented
report outline,Report Studio navigation,report_outline or virtual_tree_browser,section ID adapter,hierarchical status-aware navigation,in-place selection,medium,implemented generic primitive
